id,data,hora_brasilia,fase,grupo,etapa,mandante,visitante,gols_mandante,gols_visitante,pen_mandante,pen_visitante,cidade,estadio
G_F_2,2026-06-14,23:00,grupos,F,Rodada 1,Repescagem Europa 2,Tunísia 🇹🇳,,,,,Monterrey,Estadio BBVA
G_F_3,2026-06-20,14:00,grupos,F,Rodada 2,Países Baixos 🇳🇱,Repescagem Europa 2,,,,,Houston,NRG Stadium
G_F_4,2026-06-20,01:00,grupos,F,Rodada 2,Tunísia 🇹🇳,Japão 🇯🇵,,,,,Monterrey,Estadio BBVA
G_F_5,2026-06-25,20:00,grupos,F,Rodada 3,Tunísia 🇹🇳,Países Baixos 🇳🇱,,,,,Kansas City,Arrowhead Stadium
G_F_6,2026-06-25,20:00,grupos,F,Rodada 3,Japão 🇯🇵,Repescagem Europa 2,,,,,Dallas,AT&T Stadium
G_G_1,2026-06-15,16:00,grupos,G,Rodada 1,Bélgica 🇧🇪,Egito 🇪🇬,,,,,Seattle,Lumen Field
G_G_2,2026-06-15,22:00,grupos,G,Rodada 1,Irã 🇮🇷,Nova Zelândia 🇳🇿,,,,,Los Angeles,SoFi Stadium
G_G_3,2026-06-21,16:00,grupos,G,Rodada 2,Bélgica 🇧🇪,Irã 🇮🇷,,,,,Los Angeles,SoFi Stadium
G_G_4,2026-06-21,22:00,grupos,G,Rodada 2,Nova Zelândia 🇳🇿,Egito 🇪🇬,,,,,Vancouver,BC Place
G_G_5,2026-06-26,00:00,grupos,G,Rodada 3,Nova Zelândia 🇳🇿,Bélgica 🇧🇪,,,,,Vancouver,BC Place
G_G_6,2026-06-26,00:00,grupos,G,Rodada 3,Egito 🇪🇬,Irã 🇮🇷,,,,,Seattle,Lumen Field
G_H_1,2026-06-15,13:00,grupos,H,Rodada 1,Espanha 🇪🇸,Cabo Verde 🇨🇻,,,,,Atlanta,Mercedes-Benz Stadium
G_H_2,2026-06-15,19:00,grupos,H,Rodada 1,Arábia Saudita 🇸🇦,Uruguai 🇺🇾,,,,,Miami,Hard Rock Stadium
G_H_3,2026-06-21,13:00,grupos,H,Rodada 2,Espanha 🇪🇸,Arábia Saudita 🇸🇦,,,,,Atlanta,Mercedes-Benz Stadium
G_H_4,2026-06-21,19:00,grupos,H,Rodada 2,Uruguai 🇺🇾,Cabo Verde 🇨🇻,,,,,Miami,Hard Rock Stadium
G_H_5,2026-06-26,21:00,grupos,H,Rodada 3,Uruguai 🇺🇾,Espanha 🇪🇸,,,,,Guadalajara,Estádio Akron
G_H_6,2026-06-26,21:00,grupos,H,Rodada 3,Cabo Verde 🇨🇻,Arábia Saudita 🇸🇦,,,,,Houston,NRG Stadium
G_I_1,2026-06-16,16:00,grupos,I,Rodada 1,França 🇫🇷,Senegal 🇸🇳,,,,,Nova York,MetLife Stadium
G_I_2,2026-06-16,19:00,grupos,I,Rodada 1,Repescagem Mundial B,Noruega 🇳🇴,,,,,Boston,Gillette Stadium
G_I_3,2026-06-22,18:00,grupos,I,Rodada 2,França 🇫🇷,Repescagem Mundial B,,,,,Filadélfia,Lincoln Financial Field
